운동 이름,유/무산소,운동 부위,도구,단체유무,장소,나이,비만도,성별,상장,운동순서,순위
가슴/어깨 앞쪽 스트레칭,무산소,"가슴,어깨,상체",없음,개인,실내,20대,저체중,M,2등급,준비운동,2
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,20대,저체중,M,2등급,준비운동,3
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,저체중,M,2등급,준비운동,4
목 스트레칭,유산소,목,없음,개인,실내,20대,저체중,M,2등급,준비운동,5
바벨들어올리기,무산소,"전신,허벅지,가슴,팔,어깨",바벨,개인,실내,20대,저체중,M,2등급,본운동,1
서서 바벨 위로 밀기,무산소,"상체,어깨,팔,가슴",바벨,개인,실내,20대,저체중,M,2등급,본운동,2
한발 앞으로 내밀고 앉았다 일어서기,무산소,"하체,허벅지,종아리",없음,개인,실내,20대,저체중,M,2등급,본운동,3
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,20대,저체중,M,2등급,본운동,4
바벨 끌어당기기,무산소,"팔,상체",바벨,개인,실내,20대,저체중,M,2등급,본운동,5
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,20대,저체중,M,2등급,마무리운동,1
서서 균형잡기,유산소,하체,없음,개인,실내,20대,저체중,M,2등급,마무리운동,2
물당기기/밀기,유산소,"상체,팔",없음,개인,실내,20대,저체중,M,2등급,마무리운동,3
골반 스트레칭2,유산소,"고관절,하체",없음,개인,실내,20대,저체중,M,2등급,마무리운동,4
바벨 당겨 올리기,무산소,"상체,팔,가슴",바벨,개인,실내,20대,저체중,M,2등급,마무리운동,5
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,비만전단계비만,F,2등급,준비운동,1
양발 벌려 무릎 밀어내기,유산소,"상체,어깨,가슴",없음,개인,실내,20대,비만전단계비만,F,2등급,준비운동,2
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,저체중,M,3등급,마무리운동,1
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,20대,저체중,M,3등급,마무리운동,2
목 스트레칭,유산소,목,없음,개인,실내,20대,저체중,M,3등급,마무리운동,3
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,20대,저체중,M,3등급,마무리운동,4
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,저체중,M,3등급,마무리운동,5
허리 스트레칭,유산소,허리,없음,개인,실내,20대,비만전단계비만,F,3등급,준비운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,비만전단계비만,F,3등급,준비운동,2
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부",밴드,개인,실내,20대,비만전단계비만,F,3등급,준비운동,3
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,비만전단계비만,F,3등급,준비운동,4
가슴 어깨 펴기,유산소,가슴,없음,단체,실내,20대,비만전단계비만,F,3등급,준비운동,5
계단 뛰어 오르기,유산소,"전신,하체,허벅지",계단,개인,실내,20대,비만전단계비만,F,3등급,본운동,1
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,20대,비만전단계비만,F,3등급,본운동,2
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,비만전단계비만,F,3등급,본운동,3
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,20대,비만전단계비만,F,3등급,본운동,4
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,20대,비만전단계비만,F,3등급,본운동,5
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,비만전단계비만,F,3등급,마무리운동,1
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,20대,비만전단계비만,F,3등급,마무리운동,2
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,20대,비만전단계비만,F,3등급,마무리운동,3
목 스트레칭,유산소,목,없음,개인,실내,20대,비만전단계비만,F,3등급,마무리운동,4
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,20대,비만전단계비만,F,3등급,마무리운동,5
목 스트레칭,유산소,목,없음,개인,실내,20대,저체중,M,참가증,준비운동,1
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,저체중,M,참가증,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,저체중,M,참가증,준비운동,3
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,저체중,M,참가증,준비운동,4
트레드밀에서 걷기,유산소,"하체,전신,허벅지",트레드밀,개인,실내,20대,저체중,M,참가증,준비운동,5
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,20대,저체중,M,참가증,본운동,1
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,20대,저체중,M,참가증,본운동,2
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,20대,저체중,M,참가증,본운동,3
한발 앞으로 내밀고 앉았다 일어서기,무산소,"하체,허벅지,종아리",없음,개인,실내,20대,저체중,M,참가증,본운동,4
바벨 끌어당기기,무산소,"팔,상체",바벨,개인,실내,20대,저체중,M,참가증,본운동,5
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,20대,저체중,M,참가증,마무리운동,1
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,저체중,M,참가증,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,저체중,M,참가증,마무리운동,3
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,20대,저체중,M,참가증,마무리운동,4
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,20대,저체중,M,참가증,마무리운동,5
밴드 잡고 누워서 다리 밀기,무산소,"다리,허벅지",밴드,개인,실내,20대,비만전단계비만,F,2등급,본운동,5
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,20대,비만전단계비만,F,2등급,마무리운동,1
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,20대,비만전단계비만,F,2등급,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,비만전단계비만,F,2등급,마무리운동,3
수건잡고 팔 들어올리기,무산소,"등,어깨",밴드,개인,실내,20대,비만전단계비만,F,2등급,마무리운동,4
서서 뒤꿈치 들기,유산소,"하체,종아리",없음,개인,실내,20대,비만전단계비만,F,2등급,마무리운동,5
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,비만전단계비만,M,2등급,준비운동,1
허리 스트레칭,유산소,허리,없음,개인,실내,20대,비만전단계비만,M,2등급,준비운동,2
목 스트레칭,유산소,목,없음,개인,실내,20대,비만전단계비만,M,2등급,준비운동,3
아래 팔 스트레칭,유산소,팔,없음,개인,실내,20대,비만전단계비만,M,2등급,준비운동,4
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,20대,비만전단계비만,M,2등급,준비운동,5
목봉잡고 앉았다 일어나기,무산소,"하체,허벅지,종아리",막대,개인,실내,20대,비만전단계비만,M,2등급,본운동,1
밴드 잡고 누워서 다리 밀기,무산소,"다리,허벅지",밴드,개인,실내,20대,비만전단계비만,M,2등급,본운동,2
허리 스트레칭,유산소,허리,없음,개인,실내,20대,비만전단계비만,M,3등급,준비운동,1
목 스트레칭,유산소,목,없음,개인,실내,20대,비만전단계비만,M,3등급,준비운동,2
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,비만전단계비만,M,3등급,준비운동,3
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,비만전단계비만,M,3등급,준비운동,4
짐볼을 이용한 동적 루틴 스트레칭,무산소,"허리,옆구리",볼,개인,실내,20대,비만전단계비만,M,3등급,준비운동,5
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,20대,비만전단계비만,M,3등급,본운동,1
넙다리 뒤쪽 스트레칭,유산소,"허벅지,하체",없음,개인,실내,20대,비만전단계비만,M,3등급,본운동,2
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,비만전단계비만,M,3등급,본운동,3
좌식생활자를 위한 동적 루틴 스트레칭,무산소,"옆구리,하체,허벅지",없음,개인,실내,20대,비만전단계비만,M,3등급,본운동,4
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,비만전단계비만,M,3등급,본운동,5
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,20대,비만전단계비만,M,3등급,마무리운동,1
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,비만전단계비만,M,3등급,마무리운동,2
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,20대,비만전단계비만,M,3등급,마무리운동,3
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,20대,비만전단계비만,M,3등급,마무리운동,4
목 스트레칭,유산소,목,없음,개인,실내,20대,비만전단계비만,M,3등급,마무리운동,5
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,비만전단계비만,F,참가증,준비운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,비만전단계비만,F,참가증,준비운동,2
목 스트레칭,유산소,목,없음,개인,실내,20대,비만전단계비만,F,참가증,준비운동,3
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,비만전단계비만,F,참가증,준비운동,4
허리 스트레칭,유산소,허리,없음,개인,실내,20대,비만전단계비만,F,참가증,준비운동,5
계단 뛰어 오르기,유산소,"전신,하체,허벅지",계단,개인,실내,20대,비만전단계비만,F,참가증,본운동,1
볼 튕기면서 스쿼트,유산소,"허벅지,상체",볼,단체,실내,20대,비만전단계비만,F,참가증,본운동,2
계단 올라갔다 내려오기,유산소,"하체,허벅지",계단,개인,실내,20대,비만전단계비만,F,참가증,본운동,3
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,20대,비만전단계비만,F,참가증,본운동,4
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,20대,비만전단계비만,F,참가증,본운동,5
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,비만전단계비만,F,참가증,마무리운동,1
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,20대,비만전단계비만,F,참가증,마무리운동,2
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,20대,비만전단계비만,F,참가증,마무리운동,3
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,20대,비만전단계비만,F,참가증,마무리운동,4
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,20대,비만전단계비만,F,참가증,마무리운동,5
목 스트레칭,유산소,목,없음,개인,실내,20대,비만전단계비만,M,참가증,준비운동,1
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,비만전단계비만,M,참가증,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,비만전단계비만,M,참가증,준비운동,3
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,비만전단계비만,M,참가증,준비운동,4
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,1단계비만,F,2등급,준비운동,1
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,20대,1단계비만,F,2등급,준비운동,2
아래 팔 스트레칭,유산소,팔,없음,개인,실내,20대,1단계비만,F,2등급,준비운동,3
짐볼에 다리 올리고 좌우로 움직이기,유산소,"옆구리,복부,허리",볼,개인,실내,20대,1단계비만,F,2등급,준비운동,4
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,1단계비만,F,2등급,준비운동,5
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,20대,1단계비만,F,2등급,본운동,1
밴드 잡고 누워서 다리 밀기,무산소,"다리,허벅지",밴드,개인,실내,20대,1단계비만,F,2등급,본운동,2
목봉잡고 앉았다 일어나기,무산소,"하체,허벅지,종아리",막대,개인,실내,20대,1단계비만,F,2등급,본운동,3
벽에서 팔굽혀 펴기,무산소,"어깨,팔",없음,개인,실내,20대,1단계비만,F,2등급,본운동,4
덤벨 잡고 한발 내밀어 굽혔다 펴기,유산소,"하체,허벅지",덤벨,개인,실내,20대,1단계비만,F,2등급,본운동,5
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,20대,1단계비만,F,2등급,마무리운동,1
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,20대,1단계비만,F,2등급,마무리운동,2
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,20대,1단계비만,F,2등급,마무리운동,3
옆으로 누워 버티기,무산소,"전신,고관절,허벅지",없음,개인,실내,20대,1단계비만,F,2등급,마무리운동,4
한발 앞으로 내밀고 앉았다 일어서기,무산소,"하체,허벅지,종아리",없음,개인,실내,20대,1단계비만,F,2등급,마무리운동,5
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,20대,1단계비만,F,3등급,준비운동,1
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,20대,1단계비만,F,3등급,준비운동,2
작은 공을 이용한 동적 루틴 스트레칭,무산소,"허리,옆구리,어깨,팔",볼,개인,실내,20대,1단계비만,F,3등급,준비운동,3
앉아서 밴드 잡고 몸통 돌리기,무산소,"옆구리,복부",밴드,개인,실내,20대,1단계비만,F,3등급,준비운동,4
